'id';'name';'photo'
'3.1';'Сила Архимеда';'photo-182670376_457239814'
'3.2';'Плотность';'photo-182670376_457239813'
'3.3';'Давление';'photo-182670376_457239812'
'3.4';'Давление в столбе жидкости';'photo-182670376_457239811'
'3.5';'Давление в открытом сосуде';'photo-182670376_457239810'
'3.6';'Сила давления на дно сосуда';'photo-182670376_457239809'
'3.7';'Сила давления на стенку сосуда';'photo-182670376_457239808'
'3.8';'Связь сил в гидравлическом прессе (через площади)';'photo-182670376_457239807'
'3.9';'Связь сил в гидравлическом прессе (через перемещение)';'photo-182670376_457239806'
'3.10';'Связь площадей поршней';'photo-182670376_457239805'
'3.11';'Вес подвешенного на нити тела, погруженного в жидкость';'photo-182670376_457239804'
'3.12';'Вес тела, погруженного в жидкость и лежащего на дне';'photo-182670376_457239803'
'3.13';'КПД неидеального гидравлического пресса';'photo-182670376_457239802'
'3.14';'Условие плавания тел';'photo-182670376_457239801'
